,item_ids,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,graph_url,graph_types,question,task_types,graph_types_ctl,task_types_ctl,test_name,open_answer
0,CALVI_1,Summer,Winter,Cannot be inferred / Inadequate Information,,Summer,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T1.png,Choropleth map,Do U.S. states have a more similar number of sunny days in the summer or in the winter?,Make Comparisons,Choropleth map,Make Comparisons,CALVI,multiple-choice
1,CALVI_2,Summer,Winter,Cannot be inferred / Inadequate Information,,Winter,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T2.png,Choropleth map,Do U.S. states have a more similar number of windy days in the summer or in the winter?,Make Comparisons,Choropleth map,Make Comparisons,CALVI,multiple-choice
2,CALVI_3,20%,40%,60%,80%,60%,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T3.png,Bar chart,What is the number of concert tickets sold on Aug 10 as a proportion of that on Aug 11?,Make Comparisons,Bar chart,Make Comparisons,CALVI,multiple-choice
3,CALVI_4,17%,25%,50%,90%,17%,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T4.png,Bar chart,What is the price of water bottle from store A as a proportion of that from store B?,Make Comparisons,Bar chart,Make Comparisons,CALVI,multiple-choice
4,CALVI_5,25%,33%,75%,100%,100%,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T5.png,Stacked bar chart,"On May 06 in city Z, what is the number of visitors at train station B as a proportion of that at train station C?",Make Comparisons,Stacked bar chart,Make Comparisons,CALVI,multiple-choice
5,CALVI_6,Generally increasing,Generally decreasing,Generally constant,Cannot be inferred / Inadequate Information,Generally constant,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T6.png,Line chart,What is the trend for the percentage of bacteria Z from 1970 to 2020?,Find Correlations/Trends,Line chart,Find Correlations/Trends,CALVI,multiple-choice
6,CALVI_7,33%,67%,100%,200%,200%,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T8.png,Stacked area chart,"Approximately, what is the total number of visitors at amusement park B as a proportion of that at amusement park C from May to December?",Make Comparisons,Stacked area chart,Make Comparisons,CALVI,multiple-choice
7,CALVI_8,20%,50%,60%,90%,20%,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T9.png,Stacked area chart,"Approximately, what is brand C’s total sales as a proportion of brand B’s total sales from Jan 01 to Mar 15?",Make Comparisons,Stacked area chart,Make Comparisons,CALVI,multiple-choice
8,CALVI_9,True,False,Cannot be inferred / Inadequate Information,,True,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T10.png,Choropleth map,True or False: Predatory species Z is more prevalent in NC than in AZ.,Make Comparisons,Choropleth map,Make Comparisons,CALVI,multiple-choice
9,CALVI_10,True,False,Cannot be inferred / Inadequate Information,,False,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T11.png,Choropleth map,True or False: WY has a higher risk of bacteria Z infection than ND.,Make Comparisons,Choropleth map,Make Comparisons,CALVI,multiple-choice
10,CALVI_11,True,False,Cannot be inferred / Inadequate Information,,True,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T12.png,Bar chart,True or False: The annual number of trees planted in town Z has been increasing from 1960 to 1980.,Find Correlations/Trends,Bar chart,Find Correlations/Trends,CALVI,multiple-choice
11,CALVI_12,Increasing,Decreasing,Constant,,Decreasing,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T13.png,Bar chart,What is the trend of the number of bookstores in city Z from 2000 to 2020?,Find Correlations/Trends,Bar chart,Find Correlations/Trends,CALVI,multiple-choice
12,CALVI_13,There were more new movies released in 1992 than in 1994.,2000 had the most number of new movies released.,There were more new movies released in 1996 than in 1995.,None of the above.,2000 had the most number of new movies released.,There were more new movies released in 1996 than in 1995.,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T14.png,Line chart,Which of the following is true about the annual number of new movies released in city X?,Make Comparisons,Line chart,Make Comparisons,CALVI,multiple-choice
13,CALVI_14,"Decreasing, then increasing","Increasing, then decreasing",Cannot be inferred / Inadequate Information,,"Decreasing, then increasing",,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T15.png,Line chart,What is the trend of the total sales for item X from Apr to Aug?,Find Correlations/Trends,Line chart,Find Correlations/Trends,CALVI,multiple-choice
14,CALVI_15,"Increasing, then decreasing","Decreasing, then increasing",Cannot be inferred / Inadequate Information,,"Increasing, then decreasing",,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T16.png,Area chart,What is the trend of the total number of apples harvested in farm X from Jan 11 to Jan 14?,Find Correlations/Trends,Area chart,Find Correlations/Trends,CALVI,multiple-choice
15,CALVI_16,Generally increases,Generally decreases,Generally constant,Cannot be inferred / Inadequate Information,Generally increases,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T17.png,Scatterplot,What is the trend of the growth for plant species P as the number of hours of sunlight exposure per month increases?,Find Correlations/Trends,Scatterplot,Find Correlations/Trends,CALVI,multiple-choice
16,CALVI_17,More employees have vacation days at D than those at A.,More employees have a satisfaction rating at B than those who have a rating at C.,Employee satisfaction rating decreases as the annual number of vacation days increases.,None of the above.,More employees have a satisfaction rating at B than those who have a rating at C.,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T18.png,Scatterplot,Which of the following is true about company Z?,Make Comparisons,Scatterplot,Make Comparisons,CALVI,multiple-choice
17,CALVI_18,Generally increases,Generally decreases,Generally constant,Cannot be inferred / Inadequate Information,Generally decreases,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T19.png,Scatterplot,What is the trend of the survival rate as weight increases for species Z?,Find Correlations/Trends,Scatterplot,Find Correlations/Trends,CALVI,multiple-choice
18,CALVI_19,It is more prevalent in region D than in E.,It is less prevalent in region B than in C.,It is more prevalent in region C than in A.,It is less prevalent in region C than in D.,It is more prevalent in region C than in A.,,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/calvi/images/T20.png,Choropleth map,Which of the following is true about the prevalence of the plant species Y?,Make Comparisons,Choropleth map,Make Comparisons,CALVI,multiple-choice
