item_ids,task_types,question_stems,graph_types,graph_url,answer_choices,test_name,task_types_ctl,graph_types_ctl
rodrigues2024_1,Conceptual,This type of chart best allows for:,Clustered bar chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/rodrigues2024/images/rodrigues2024_clustered_bar_chart.png,"['A. showing the proportions of each studio', 'B. analyzing the distribution of movies between studios', 'C. extracting the exact value of each studio', 'D. identifying which studio has the lowest value', 'E. revealing trends', 'F. I dont know']",rodrigues2024,,Grouped bar chart
rodrigues2024_2,Suitable,Approximately how many Drama movies were produced in 2010?,Clustered bar chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/rodrigues2024/images/rodrigues2024_clustered_bar_chart.png,"['A. 81', 'B. 107', 'C. 48', 'D. 94', 'E. This type of chart does not allow or help to answer the question', 'F. I dont know']",rodrigues2024,,Grouped bar chart
rodrigues2024_3,Unsuitable,What is the relationship between Drama and Action movies?,Clustered bar chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/rodrigues2024/images/rodrigues2024_clustered_bar_chart.png,"['A. This type of chart does not allow or help to answer the question', 'B. Correlation', 'C. It depends on the year of production', 'D. Inversely proportional', 'E. Directly proportional', 'F. I dont know']",rodrigues2024,,Grouped bar chart
rodrigues2024_4,Conceptual,This type of chart best allows for:,Simple bar chart  ordered by name,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/rodrigues2024/images/rodrigues2024_simple_bar_chart__ordered_by_name.png,"['A. showing the proportions of each studio', 'B. analyzing the distribution of movies between studios', 'C. extracting the exact value of each studio', 'D. identifying which studio has the lowest value', 'E. revealing trends', 'F. I dont know']",rodrigues2024,,Bar chart
rodrigues2024_5,Suitable,What is the approximate number of Romance movies?,Simple bar chart  ordered by name,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/rodrigues2024/images/rodrigues2024_simple_bar_chart__ordered_by_name.png,"['A. 359', 'B. 497', 'C. 865', 'D. 310', 'E. This type of chart does not allow or help to answer the question', 'F. I dont know']",rodrigues2024,,Bar chart
rodrigues2024_6,Unsuitable,What is the growth ratio of the number of movies in relation to the years?,Simple bar chart  ordered by name,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/rodrigues2024/images/rodrigues2024_simple_bar_chart__ordered_by_name.png,"['A. This type of chart does not allow or help to answer the question', 'B. Partial', 'C. Increasing', 'D. With peaks', 'E. With valleys', 'F. I dont know']",rodrigues2024,,Bar chart
rodrigues2024_7,Conceptual,This type of chart best allows for:,Simple bar chart  ordered by frequency,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/rodrigues2024/images/rodrigues2024_simple_bar_chart__ordered_by_frequency.png,"['A. showing the proportions of each studio', 'B. analyzing the distribution of movies between studios', 'C. extracting the exact value of each studio', 'D. identifying which studio has the lowest value', 'E. revealing trends', 'F. I dont know']",rodrigues2024,,Bar chart
rodrigues2024_8,Suitable,Which genre has the largest number of movies?,Simple bar chart  ordered by frequency,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/rodrigues2024/images/rodrigues2024_simple_bar_chart__ordered_by_frequency.png,"['A. Drama', 'B. Romance', 'C. Comedy', 'D. Thriller', 'E. This type of chart does not allow or help to answer the question', 'F. I dont know']",rodrigues2024,,Bar chart
rodrigues2024_9,Unsuitable,"Looking at the number of movies, what is the trend in terms of genres?",Simple bar chart  ordered by frequency,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/rodrigues2024/images/rodrigues2024_simple_bar_chart__ordered_by_frequency.png,"['A. Exponential', 'B. Linear', 'C. Logarithmic', 'D. Decreasing', 'E. This type of chart does not allow or help to answer the question', 'F. I dont know']",rodrigues2024,,Bar chart
rodrigues2024_10,Conceptual,This type of chart best allows for:,Stacked bar chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/rodrigues2024/images/rodrigues2024_stacked_bar_chart.png,"['A. showing the proportions of each studio', 'B. analyzing the distribution of movies between studios', 'C. extracting the exact value of each studio', 'D. identifying which studio has the lowest value', 'E. revealing trends', 'F. I dont know']",rodrigues2024,,Stacked bar chart
rodrigues2024_11,Suitable,What is the approximate number of Adventure movies published by Universal Pictures?,Stacked bar chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/rodrigues2024/images/rodrigues2024_stacked_bar_chart.png,"['A. 5', 'B. 20', 'C. 10', 'D. 30', 'E. This type of chart does not allow or help to answer the question', 'F. I dont know']",rodrigues2024,,Stacked bar chart
rodrigues2024_12,Unsuitable,Which studio produces movies of most genres?,Stacked bar chart,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/rodrigues2024/images/rodrigues2024_stacked_bar_chart.png,"['A. This type of chart does not allow or help to answer the question', 'B. Paramount Pictures', 'C. All except IFC Films', 'D. Paramount, Sony, Universal and Warner', 'E. None', 'F. I dont know']",rodrigues2024,,Stacked bar chart
