item_ids,question_stems,answer_choices,graph_types_ctl,task_types_ctl,graph_types,task_types,test_name,graph_url
ARTIST_1,Here is a histogram for a set of test scores from a 10-item makeup quiz given to a group of studentswho were absent on the day the quiz was given. How many people received scores higher than 4?,"['a. 1', 'b. 2', 'c. 3', 'd. 4']",Histogram,,,,ARTIST,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_ARTIST_1.png
ARTIST_2,How many people took the test and have scores represented in the graph?,"['a. 5', 'b. 10', 'c. 20', 'd. 30']",Histogram,,,,ARTIST,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_ARTIST_2.png
ARTIST_3,What do the numbers on the vertical axis represent?,"['a.Independent variable', 'b.Scores on the test', 'c.Dependent variable', 'd.Number of Students']",Histogram,,,,ARTIST,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_ARTIST_3.png
ARTIST_4,Scores for a quiz were calculated as the number of correct responses. Below is a graphical display ofthe quiz scores. How many of the scores are above 15?,"['a. 6', 'b. 7', 'c. 12', 'd. 13', 'e. Can’t be determined']",Histogram,,,,ARTIST,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_ARTIST_4.png
ARTIST_5,"One of the items on the student survey for an introductory statistics course was ""Rate your aptitude tosucceed in this class on a scale of 1 to 10"" where 1 = Lowest Aptitude and 10 = Highest Aptitude. Theinstructor examined the data for men and women separately. Below is the distribution of this variablefor the 30 women in the class. How should the instructor interpret the women's perceptions regardingtheir success in the class?","['a.A majority of women in the class do not feel thatthey will succeed in statistics although a few feelconfident about succeeding', 'b.The women in the class see themselves as havinglower aptitude for statistics than the men in the class', 'c.If you remove the three women with the highestratings, then the result will show an approximatelynormal distribution']",Histogram,,,,ARTIST,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_ARTIST_5.png
ARTIST_6,The following graph shows a distribution of hours slept last night by a group of college students.Select the statement below that gives the most complete description of the graph in a way thatdemonstrates an understanding of how to statistically describe and interpret the distribution of avariable.,"['a.The bars go from 3 to 10, increasing in height to 7,then decreasing to 10. The tallest bar is at 7. Thereis a gap between three and five', 'b.The distribution is normal, with a mean of about 7and a standard deviation of about', 'c.Most students seem to be getting enough sleep atnight, but some students slept more and some sleptless. However, one student must have stayed upvery late and got very few hours of sleep', 'd.The distribution of hours of sleep is somewhatsymmetric and bell-shaped, with an outlier at 3.The typical amount of sleep is about 7 hoursand overall range is 7 hours']",Histogram,,,,ARTIST,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_ARTIST_6.png
ARTIST_7,"A college statistics class conducted a survey. They gathered data from a large random sample ofstudents who estimated how much money they typically spent each week in different categories (e.g.,food, entertainment, etc.). A distribution of the survey results is presented below. One student claimsthe distribution of food costs basically looks bell-shaped, with one outlier.  How would you respond?","['a.Agree, it looks pretty symmetric if you ignorethe outlier', 'b.Agree, most distributions are bell-shaped', 'c.Disagree, it looks more skewed to the left', 'd.Disagree, it looks more skewed to the right', 'e.Disagree, it looks more bimodal']",Histogram,,,,ARTIST,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_ARTIST_7.png
ARTIST_8,Match each description to the appropriate histogram below 8: A set of quiz scores where the quiz was very easy.,"['https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_I.png', 'https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_II.png', 'https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_III.png', 'https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_IV.png']",,,,,ARTIST,
ARTIST_9,The last digits of phone numbers sampled from a phone book. Match this description to theappropriate histogram below.,"['https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_I.png', 'https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_II.png', 'https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_III.png', 'https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_IV.png']",,,,,ARTIST,
ARTIST_10,"A set of average weights (measured in pounds) compiled monthly over the course of twoyears, of one healthy adult. Match this description to the appropriate histogram below.","['https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_I.png', 'https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_II.png', 'https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_III.png', 'https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_IV.png']",,,,,ARTIST,
ARTIST_11,"One of the items on the student survey for an introductory statistics course was ""Rate your aptitude tosucceed in this class on a scale of 1 to 10"" where 1 = Lowest Aptitude and 10 = Highest Aptitude. Theinstructor examined the data for men and women separately. Below is the distribution of this variablefor the 30 women in the class. Which of the following boxplots represents the same data set as thehistogram shown above?","['https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/box_plot_11A.png', 'https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/box_plot_11B.png', 'https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/box_plot_11C.png']",Histogram,,,,ARTIST,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_ARTIST_11.png
ARTIST_12,The following graph shows a distribution of hours slept last night by a group of college students.Which box plot seems to be graphing the same data as this histogram?,"['https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/box_plot_12A.png', 'https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/box_plot_12B.png', 'https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/box_plot_12C.png']",Histogram,,,,ARTIST,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_ARTIST_12.png
ARTIST_13,"A local running club has its own track and keeps accurate records of each member's individual bestlap time around the track, so members can make comparisons with their peers. Here are graphs ofthese data. Which of the above graphs allows you to most easily see the shape of the distribution ofrunning times?","['https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_Graph_A.png', 'https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/bar_Graph_B.png', 'https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/box_plot_Graph_C.png']",,,,,ARTIST,
ARTIST_14,"A baseball coach wanted to get an idea of how well his team did during the past baseball season. Herecorded the proportion of hits obtained by each player based on their number of times at bat asshown in the table below.Which of the following graphs gives the best display of the distribution of proportion of hits in that itallows the coach to describe the shape, center and spread of the data?","['https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_A.png', 'https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_B.png', 'https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_C.png', 'https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/histogram_D.png']",Table,,,,ARTIST,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/ARTIST/images/table_ARTIST_14.png
